 title="contour"
 variables="x","y","u","v",
 "p","den","mach","entropy","vmu",
 zone i=          54  j=          11  f=point
  1.9999999E-04 -6.8181823E-03   363.9280       2.717536       5287049.    
   5.897314      0.3424228       565182.9      0.0000000E+00
  5.9999997E-04 -6.8181823E-03   374.0596       8.399113       5169288.    
   5.792414      0.3528413       565233.1      0.0000000E+00
  9.9999993E-04 -6.8181823E-03   368.5728       17.61863       5169270.    
   5.792887      0.3479898       565173.1      0.0000000E+00
  1.4000000E-03 -6.8181823E-03   348.9615       31.80958       5236666.    
   5.851457      0.3299846       565330.3      0.0000000E+00
  1.8000001E-03 -6.8181823E-03   318.0250       53.23104       5270591.    
   5.876167      0.3033146       565979.5      0.0000000E+00
  2.1064074E-03 -6.7370133E-03   306.6216       82.78170       5429592.    
   6.012491      0.2977410       566446.1      0.0000000E+00
  2.3192200E-03 -6.5746745E-03   329.5531       110.9923       5346021.    
   5.938566      0.3265107       566489.5      0.0000000E+00
  2.5320328E-03 -6.4123357E-03   357.6948       138.0443       5253141.    
   5.856034      0.3606353       566550.4      0.0000000E+00
  2.7448474E-03 -6.2499996E-03   383.2731       162.7517       5180816.    
   5.791077      0.3921957       566658.5      0.0000000E+00
  2.9576600E-03 -6.0876636E-03   409.3819       185.5624       5102050.    
   5.720102      0.4239835       566781.8      0.0000000E+00
  3.1704723E-03 -5.9253252E-03   436.8945       206.9651       5013618.    
   5.640133      0.4567974       566926.4      0.0000000E+00
  3.3832851E-03 -5.7629864E-03   466.3116       227.2615       4915014.    
   5.550612      0.4911058       567094.2      0.0000000E+00
  3.5960975E-03 -5.6006485E-03   498.6305       246.5855       4803571.    
   5.449038      0.5278111       567284.9      0.0000000E+00
  3.8089126E-03 -5.4383110E-03   535.3694       264.9047       4674709.    
   5.331087      0.5682698       567501.1      0.0000000E+00
  4.0217252E-03 -5.2759736E-03   578.7690       282.2365       4521152.    
   5.189827      0.6146071       567749.0      0.0000000E+00
  4.2345375E-03 -5.1136357E-03   632.5632       299.1522       4331455.    
   5.014424      0.6707204       568009.1      0.0000000E+00
  4.4473526E-03 -4.9512987E-03   703.6995       317.3901       4083860.    
   4.782984      0.7442625       568394.9      0.0000000E+00
  4.6601649E-03 -4.7889608E-03   806.1826       332.4449       3733524.    
   4.449944      0.8481405       569104.9      0.0000000E+00
  4.8729777E-03 -4.6266238E-03   986.1732       335.3379       3199580.    
   3.935159       1.029111       569430.1      0.0000000E+00
  5.2371286E-03 -4.6106284E-03   1232.089       324.1819       2120664.    
   2.836606       1.312671       570092.1      0.0000000E+00
  5.7525476E-03 -4.7409586E-03   1356.234       288.6603       1401216.    
   2.003926       1.477265       583625.3      0.0000000E+00
  6.2678256E-03 -4.8712548E-03   1453.643       229.1369       1132581.    
   1.684647       1.598902       587040.6      0.0000000E+00
  6.7829685E-03 -5.0015198E-03   1464.029       149.7288       967359.7    
   1.473932       1.618336       593343.7      0.0000000E+00
  7.2979820E-03 -5.1317546E-03   1451.803       58.25001       919551.6    
   1.401542       1.598036       600969.5      0.0000000E+00
  7.8128707E-03 -5.2619600E-03   1426.499      -35.81452       928435.8    
   1.408187       1.565588       603170.1      0.0000000E+00
  8.3276387E-03 -5.3921351E-03   1384.107      -129.3319       971537.1    
   1.454170       1.515131       606127.6      0.0000000E+00
  8.8422894E-03 -5.5222828E-03   1319.757      -215.6326       1063754.    
   1.557266       1.441419       608785.4      0.0000000E+00
  9.3568275E-03 -5.6524053E-03   1255.232      -284.7808       1177385.    
   1.685118       1.371809       610048.1      0.0000000E+00
  9.8712556E-03 -5.7825027E-03   1227.085      -332.1923       1254280.    
   1.770105       1.345394       610823.6      0.0000000E+00
  1.0385579E-02 -5.9125740E-03   1229.220      -348.3479       1306242.    
   1.830119       1.347245       609957.4      0.0000000E+00
  1.0899802E-02 -6.0426192E-03   1237.399      -356.1887       1317739.    
   1.846361       1.357857       608513.8      0.0000000E+00
  1.1413925E-02 -6.1726440E-03   1250.082      -357.6812       1314771.    
   1.844412       1.371969       607951.7      0.0000000E+00
  1.1927955E-02 -6.3026450E-03   1266.636      -356.5609       1303196.    
   1.833568       1.390496       607093.2      0.0000000E+00
  1.2441891E-02 -6.4326236E-03   1286.584      -353.3667       1280913.    
   1.811168       1.413398       606026.7      0.0000000E+00
  1.2955739E-02 -6.5625827E-03   1308.424      -348.5072       1249962.    
   1.778560       1.438908       605076.6      0.0000000E+00
  1.3469502E-02 -6.6925213E-03   1330.217      -342.7446       1214161.    
   1.739722       1.464862       604326.5      0.0000000E+00
  1.3983180E-02 -6.8224380E-03   1350.839      -337.1871       1176976.    
   1.697792       1.489710       604106.1      0.0000000E+00
  1.4496778E-02 -6.9523375E-03   1370.338      -332.1393       1139483.    
   1.654302       1.513534       604300.5      0.0000000E+00
  1.5010295E-02 -7.0822178E-03   1389.050      -327.5403       1101878.    
   1.610085       1.536882       604649.7      0.0000000E+00
  1.5523738E-02 -7.2120782E-03   1407.233      -323.3582       1064404.    
   1.565774       1.560145       604989.9      0.0000000E+00
  1.6037108E-02 -7.3419237E-03   1425.029      -319.6069       1027372.    
   1.521855       1.583501       605253.9      0.0000000E+00
  1.6550405E-02 -7.4717519E-03   1442.496      -316.3181       991105.9    
   1.478709       1.606975       605435.6      0.0000000E+00
  1.7063634E-02 -7.6015638E-03   1459.645      -313.5254       955881.1    
   1.436615       1.630514       605556.8      0.0000000E+00
  1.7576797E-02 -7.7313581E-03   1476.409      -311.2343       921954.0    
   1.395835       1.653961       605645.2      0.0000000E+00
